Release Date,Title,Production Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office
"May 7, 2027",Avengers: Secret Wars,,,,
"Nov 6, 2026",Untitled Marvel Movie,,,,
"Jul 24, 2026",Untitled Marvel Movie,,,,
"May 1, 2026",Avengers: The Kang Dynasty,,,,
"Feb 13, 2026",Untitled Marvel Movie,,,,
"Nov 7, 2025",Blade,,,,
"Jul 25, 2025",The Fantastic Four,,,,
"May 2, 2025",Thunderbolts*,,,,
"Feb 14, 2025",Captain America: Brave New …,,,,
"Jul 26, 2024",Deadpool and Wolverine,,,,
"Nov 10, 2023",The Marvels,"$274,800,000","$46,110,859","$84,500,223","$199,706,250"
"May 5, 2023",Guardians of the Galaxy Vol 3,"$250,000,000","$118,414,021","$358,995,815","$845,468,744"
"Feb 17, 2023",Ant-Man and the Wasp: Quant…,"$200,000,000","$106,109,650","$214,506,909","$463,635,303"
"Nov 11, 2022",Black Panther: Wakanda Forever,"$250,000,000","$181,339,761","$453,829,060","$853,985,546"
"Oct 7, 2022",Werewolf by Night,,,,
"Jul 8, 2022",Thor: Love and Thunder,"$250,000,000","$144,165,107","$343,256,830","$760,928,081"
"May 6, 2022",Doctor Strange in the Multi…,"$200,000,000","$187,420,998","$411,331,607","$952,224,986"
"Dec 17, 2021",Spider-Man: No Way Home,"$200,000,000","$260,138,569","$814,115,070","$1,907,836,254"
"Nov 5, 2021",Eternals,"$200,000,000","$71,297,219","$164,870,264","$401,731,759"
"Sep 3, 2021",Shang-Chi and the Legend of…,"$150,000,000","$75,388,688","$224,543,292","$432,224,634"
"Jul 9, 2021",Black Widow,"$200,000,000","$80,366,312","$183,651,655","$379,751,131"
"Jul 2, 2019",Spider-Man: Far From Home,"$160,000,000","$92,579,212","$390,532,085","$1,132,107,522"
"Apr 26, 2019",Avengers: Endgame,"$400,000,000","$357,115,007","$858,373,000","$2,788,912,285"
"Mar 8, 2019",Captain Marvel,"$175,000,000","$153,433,423","$426,829,839","$1,129,576,094"
"Jul 6, 2018",Ant-Man and the Wasp,"$130,000,000","$75,812,205","$216,648,740","$623,144,660"
"Apr 27, 2018",Avengers: Infinity War,"$300,000,000","$257,698,183","$678,815,482","$2,048,359,754"
"Feb 16, 2018",Black Panther,"$200,000,000","$202,003,951","$700,059,566","$1,336,494,320"
"Nov 3, 2017",Thor: Ragnarok,"$180,000,000","$122,744,989","$315,058,289","$850,482,778"
"Jul 7, 2017",Spider-Man: Homecoming,"$175,000,000","$117,027,503","$334,201,140","$878,271,291"
"May 5, 2017",Guardians of the Galaxy Vol 2,"$200,000,000","$146,510,104","$389,813,101","$869,087,963"
"Nov 4, 2016",Doctor Strange,"$165,000,000","$85,058,311","$232,641,920","$676,343,174"
"May 6, 2016",Captain America: Civil War,"$250,000,000","$179,139,142","$408,084,349","$1,151,899,586"
"Jul 17, 2015",Ant-Man,"$130,000,000","$57,225,526","$180,202,163","$518,858,449"
"May 1, 2015",Avengers: Age of Ultron,"$365,000,000","$191,271,109","$459,005,868","$1,395,316,979"
"Aug 1, 2014",Guardians of the Galaxy,"$170,000,000","$94,320,883","$333,714,112","$770,882,395"
"Apr 4, 2014",Captain America: The Winter…,"$170,000,000","$95,023,721","$259,746,958","$714,401,889"
"Nov 8, 2013",Thor: The Dark World,"$150,000,000","$85,737,841","$206,362,140","$644,602,516"
"May 3, 2013",Iron Man 3,"$200,000,000","$174,144,585","$408,992,272","$1,215,392,272"
"May 4, 2012",The Avengers,"$225,000,000","$207,438,708","$623,357,910","$1,515,100,211"
"Jul 22, 2011",Captain America: The First …,"$140,000,000","$65,058,524","$176,654,505","$370,569,776"
"May 6, 2011",Thor,"$150,000,000","$65,723,338","$181,030,624","$449,326,618"
"May 7, 2010",Iron Man 2,"$170,000,000","$128,122,480","$312,433,331","$621,156,389"
"Jun 13, 2008",The Incredible Hulk,"$137,500,000","$55,414,050","$134,806,913","$265,573,859"
"May 2, 2008",Iron Man,"$186,000,000","$102,118,668","$318,604,126","$585,171,547"
,,,,,
Averages,,"$203,130,303","$132,771,898","$357,562,702","$901,470,455"
Totals,44,"$6,703,300,000",,"$11,799,569,158","$29,748,525,015"
